iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
122,1.0,1,2,1,5,10,8,,10,5,116.0,1,0.08,0,21.0,2.0,15.0,15.0,25.0,25.0,20.0,0.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,22.0,Law,1.0,,,,6.0,1.0,1.0,Long Island,"11,793","57,887.00",1.0,3.0,1.0,Lawyer,1.0,7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,6.0,10.0,40.0,15.0,10.0,20.0,5.0,10.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,8.0,8.0,8.0,,,,,,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,4.0,,,,,,,,,,,,5.0,3.0,3.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,8.0,10.0,8.0,8.0,8.0,,,,,,1.0,0.0,1.0,,,50.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,8.0,10.0,8.0,8.0,8.0,,,,,
46,7.0,1,14,2,2,19,13,,15,6,26.0,0,0.22,1,23.0,2.0,20.0,20.0,20.0,15.0,15.0,10.0,0,7.0,4.0,5.0,6.0,5.0,4.0,6.0,5.0,2.0,26.0,Finanace,8.0,,,,2.0,2.0,3.0,Italy,"21,020",,2.0,6.0,2.0,banker,7.0,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0,7.0,8.0,20.0,35.0,20.0,10.0,10.0,5.0,,,,,,,20.0,20.0,20.0,25.0,5.0,10.0,7.0,8.0,5.0,7.0,7.0,,,,,,1,10.0,9.0,9.0,10.0,7.0,8.0,9.5,7.0,2.0,4.0,,,,,,,,,,,,8.0,3.0,2.0,,,,,,,75.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,8.0,7.0,7.0,8.0,7.0,,,,,,1.0,0.0,0.0,,,70.0,10.0,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,7.0,7.0,,,,,
166,9.0,1,18,2,7,16,2,2.0,1,7,148.0,0,0.09,0,27.0,4.0,15.09,16.98,16.98,18.87,18.87,13.21,0,7.0,8.0,7.0,5.0,5.0,2.0,7.0,2.0,1.0,26.0,Business,8.0,,,,6.0,1.0,9.0,Washington DC Metro Region,"20,817","80,006.00",5.0,5.0,2.0,Finance,7.0,5.0,5.0,9.0,4.0,4.0,2.0,5.0,1.0,3.0,9.0,1.0,5.0,8.0,7.0,10.0,1.0,7.0,6.0,,27.78,19.44,19.44,27.78,2.78,2.78,10.0,8.0,8.0,8.0,6.0,7.0,21.74,15.22,15.22,15.22,17.39,15.22,7.0,7.0,7.0,7.0,7.0,,,,,,1,8.0,8.0,8.0,8.0,8.0,,8.0,2.0,1.0,1.0,22.22,22.22,22.22,22.22,5.56,5.56,6.0,6.0,6.0,6.0,6.0,2.0,3.0,2.0,,,,,,,25.0,20.0,20.0,25.0,5.0,5.0,10.0,7.0,5.0,8.0,5.0,7.0,19.15,19.15,14.89,14.89,21.28,10.64,7.0,7.0,7.0,7.0,5.0,,,,,,1.0,0.0,1.0,1.0,,16.67,16.67,16.67,16.67,16.67,16.67,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,,,,,
275,3.0,1,6,2,11,21,10,10.0,17,15,266.0,0,0.32,1,28.0,2.0,25.0,20.0,20.0,25.0,0.0,10.0,0,5.0,0.0,5.0,3.0,7.0,,2.0,2.0,2.0,21.0,Operations Research,5.0,Novosibirsk State University,,,2.0,1.0,1.0,Siberia,"630,090",,2.0,4.0,3.0,Investment Banking,7.0,9.0,1.0,10.0,6.0,7.0,7.0,4.0,6.0,5.0,10.0,1.0,9.0,7.0,7.0,9.0,5.0,9.0,6.0,,25.0,10.0,25.0,5.0,10.0,25.0,20.0,15.0,15.0,15.0,10.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,10.0,7.0,6.0,10.0,10.0,9.0,6.0,10.0,5.0,10.0,1,6.0,6.0,8.0,6.0,6.0,8.0,7.0,7.0,0.0,8.0,20.0,10.0,20.0,10.0,20.0,20.0,10.0,7.0,10.0,5.0,10.0,7.0,1.0,2.0,,,,,,,20.0,10.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,15.0,15.0,30.0,15.0,15.0,20.0,15.0,15.0,20.0,10.0,6.0,10.0,5.0,10.0,9.0,7.0,9.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,9.0,0,17,2,7,16,8,8.0,11,5,162.0,0,0.46,0,27.0,4.0,15.22,15.22,19.57,17.39,13.04,19.57,0,6.0,9.0,8.0,5.0,6.0,3.0,5.0,5.0,2.0,31.0,History of Religion,7.0,,,,2.0,3.0,3.0,NYC,"10,021","55,080.00",4.0,5.0,2.0,professor,2.0,5.0,1.0,3.0,5.0,3.0,3.0,9.0,1.0,5.0,7.0,1.0,1.0,7.0,5.0,4.0,2.0,10.0,5.0,,12.0,20.0,20.0,20.0,14.0,14.0,7.0,7.0,6.0,5.0,5.0,5.0,25.0,15.0,15.0,15.0,15.0,15.0,7.0,9.0,8.0,9.0,8.0,,,,,,0,6.0,6.0,7.0,6.0,6.0,5.0,7.0,4.0,0.0,1.0,12.77,21.28,19.15,17.02,14.89,14.89,8.0,10.0,8.0,8.0,8.0,6.0,1.0,2.0,,,,,,,14.0,18.0,18.0,18.0,16.0,16.0,9.0,4.0,4.0,7.0,7.0,7.0,23.81,11.9,14.29,16.67,16.67,16.67,6.0,9.0,9.0,8.0,7.0,,,,,,1.0,1.0,1.0,1.0,,10.87,19.57,17.39,19.57,15.22,17.39,,,,,,,10.0,6.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,8.0,,6.0,6.0,7.0,7.0,7.0,,,,,
345,5.0,0,9,2,14,18,17,17.0,11,10,370.0,0,0.19,1,28.0,2.0,50.0,10.0,10.0,10.0,10.0,10.0,0,5.0,10.0,10.0,8.0,10.0,7.0,6.0,5.0,2.0,24.0,Nutrition,10.0,Biological Sciences,,,2.0,7.0,6.0,Brooklyn,"11,235","25,401.00",2.0,7.0,4.0,Nutritionist,4.0,5.0,1.0,10.0,6.0,5.0,5.0,3.0,4.0,8.0,9.0,6.0,7.0,7.0,8.0,9.0,6.0,9.0,6.0,,10.0,20.0,27.0,23.0,15.0,5.0,50.0,0.0,5.0,20.0,5.0,20.0,35.0,10.0,10.0,25.0,10.0,10.0,7.0,9.0,7.0,9.0,7.0,6.0,10.0,10.0,7.0,10.0,1,10.0,9.0,10.0,8.0,8.0,5.0,10.0,8.0,0.0,2.0,,,,,,,,,,,,5.0,3.0,2.0,,,,,,,15.0,15.0,25.0,30.0,10.0,5.0,25.0,10.0,10.0,10.0,35.0,10.0,45.0,2.0,13.0,25.0,3.0,12.0,7.0,9.0,9.0,7.0,7.0,6.0,10.0,9.0,6.0,9.0,0.0,1.0,0.0,,,10.0,10.0,30.0,30.0,10.0,0.0,50.0,5.0,10.0,20.0,10.0,5.0,50.0,10.0,10.0,10.0,10.0,10.0,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,8.0,8.0,6.0,7.0,10.0,8.0,7.0,8.0
372,12.0,1,24,2,14,20,11,11.0,5,11,351.0,0,0.43,0,35.0,4.0,15.0,15.0,30.0,15.0,15.0,10.0,1,7.0,7.0,6.0,7.0,7.0,5.0,7.0,6.0,2.0,27.0,Business,8.0,Harvard College,"1,400.00","26,019.00",2.0,9.0,7.0,Midwest USA,"66,208","46,138.00",2.0,5.0,2.0,undecided,10.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,4.0,2.0,9.0,6.0,8.0,6.0,7.0,7.0,4.0,2.0,5.0,,30.0,15.0,15.0,20.0,5.0,15.0,40.0,15.0,10.0,20.0,0.0,15.0,30.0,10.0,15.0,10.0,20.0,15.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,0,7.0,9.0,7.0,4.0,4.0,3.0,4.0,4.0,0.0,3.0,,,,,,,,,,,,5.0,1.0,2.0,,,,,,,40.0,15.0,15.0,15.0,5.0,10.0,45.0,15.0,5.0,15.0,5.0,15.0,40.0,10.0,10.0,10.0,20.0,10.0,7.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,8.0,1,16,1,13,10,4,4.0,4,3,324.0,0,,0,23.0,2.0,40.0,10.0,15.0,20.0,10.0,5.0,1,3.0,7.0,9.0,6.0,7.0,9.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.0,6.0,7.0,9.0,7.0,7.0,9.0,6.0,0.0,3.0,,,,,,,,,,,,6.0,1.0,2.0,,,,,,,25.0,15.0,15.0,20.0,10.0,15.0,30.0,10.0,20.0,15.0,10.0,15.0,20.0,15.0,15.0,20.0,20.0,10.0,8.0,3.0,7.0,9.0,6.0,7.0,2.0,8.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,17.0,1,34,2,14,20,20,20.0,12,15,355.0,0,-0.21,0,24.0,2.0,50.0,20.0,10.0,5.0,10.0,5.0,0,6.0,7.0,8.0,9.0,8.0,5.0,4.0,4.0,2.0,26.0,business school,8.0,nyu,"1,340.00","25,380.00",4.0,3.0,2.0,new york,"7,039",,1.0,5.0,1.0,investment management,7.0,7.0,9.0,6.0,6.0,3.0,3.0,1.0,7.0,8.0,6.0,8.0,5.0,8.0,7.0,8.0,6.0,2.0,6.0,,25.0,20.0,10.0,20.0,15.0,10.0,45.0,10.0,5.0,30.0,5.0,5.0,20.0,25.0,20.0,20.0,10.0,5.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,0,7.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,0.0,2.0,,,,,,,,,,,,5.0,3.0,2.0,,,,,,,20.0,20.0,20.0,30.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,16.67,16.67,16.67,16.67,16.67,16.67,7.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,6.0,1,12,1,13,10,10,10.0,1,8,329.0,0,0.41,1,29.0,2.0,15.0,22.0,22.0,16.0,15.0,10.0,0,6.0,8.0,8.0,6.0,7.0,3.0,7.0,4.0,2.0,28.0,Urban Planning,5.0,Texas A&M,"1,178.00","10,052.00",2.0,1.0,1.0,"Dallas, Texas",,,1.0,5.0,3.0,Civil Engineer,5.0,9.0,9.0,8.0,8.0,8.0,7.0,5.0,4.0,6.0,7.0,5.0,7.0,8.0,7.0,6.0,4.0,4.0,5.0,,17.0,17.0,17.0,17.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,7.0,9.0,8.0,6.0,6.0,6.0,6.0,6.0,0.0,5.0,,,,,,,,,,,,9.0,3.0,3.0,,,,,,,17.0,17.0,16.0,17.0,16.0,17.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8.0,1,16,2,4,18,11,,6,16,91.0,0,-0.19,0,25.0,6.0,15.0,3.0,50.0,20.0,2.0,10.0,0,4.0,7.0,8.0,5.0,7.0,4.0,4.0,2.0,2.0,22.0,financial math,8.0,,,,4.0,3.0,2.0,India,"110,015",,3.0,4.0,3.0,Finance,7.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,7.0,14.0,40.0,8.0,10.0,12.0,10.0,20.0,,,,,,,20.0,10.0,10.0,30.0,10.0,20.0,8.0,8.0,8.0,9.0,9.0,,,,,,1,8.0,7.0,7.0,8.0,,,8.0,6.0,2.0,5.0,,,,,,,,,,,,8.0,1.0,2.0,,,,,,,40.0,10.0,10.0,20.0,5.0,15.0,,,,,,,,,,,,,7.0,8.0,9.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,12.0,1,24,2,2,19,15,,7,10,30.0,0,-0.27,1,23.0,2.0,10.0,20.0,20.0,20.0,20.0,10.0,0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,2.0,23.0,Law,1.0,,,,2.0,5.0,10.0,Philadelphia,"19,151","29,809.00",1.0,5.0,3.0,Law,1.0,6.0,6.0,7.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,7.0,1.0,6.0,1.0,2.0,2.0,1.0,3.0,2.0,25.0,10.0,35.0,15.0,0.0,15.0,,,,,,,25.0,5.0,15.0,20.0,30.0,5.0,6.0,8.0,2.0,10.0,2.0,,,,,,0,3.0,5.0,6.0,2.0,6.0,4.0,4.0,7.0,2.0,1.0,,,,,,,,,,,,5.0,1.0,2.0,,,,,,,40.0,5.0,10.0,5.0,10.0,30.0,,,,,,,,,,,,,6.0,9.0,10.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2.0,1,4,2,4,18,9,,15,12,87.0,0,0.21,1,23.0,2.0,15.0,15.0,20.0,15.0,15.0,20.0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,26.0,Business,8.0,,,,2.0,7.0,5.0,Long Island,"11,753","76,624.00",1.0,5.0,2.0,Business - Investment Management,7.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,6.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,,,,,,,16.0,15.0,19.0,23.0,14.0,13.0,7.0,9.0,8.0,10.0,7.0,,,,,,0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,2.0,,,,,,,,,,,,5.0,1.0,2.0,,,,,,,18.0,15.0,18.0,20.0,12.0,17.0,,,,,,,,,,,,,8.0,9.0,10.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.0,1,2,1,1,10,5,,2,7,7.0,0,0.19,0,22.0,4.0,15.0,15.0,25.0,20.0,15.0,10.0,0,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0,2.0,27.0,Finance,8.0,,,,2.0,7.0,3.0,Argentina,0,,1.0,5.0,4.0,"Academia, Research, Banking, Life",2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,7.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,,,,,,,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,,,,,,0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,2.0,0.0,,,,,,,,,,,,7.0,2.0,,,,,,,,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,,,,,,,,8.0,8.0,8.0,6.0,5.0,,,,,,0.0,0.0,0.0,,,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,,,,,,,,,,,,,,7.0,8.0,7.0,7.0,5.0,,,,,
293,21.0,1,42,2,11,21,21,21.0,17,16,267.0,0,0.09,0,26.0,4.0,20.0,30.0,10.0,15.0,10.0,15.0,0,4.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,2.0,28.0,Business (MBA),8.0,MIT,"1,490.00","27,728.00",3.0,3.0,7.0,Northern New Jersey,"7,512",,2.0,5.0,2.0,Pharmaceuticals/Consulting,7.0,6.0,9.0,7.0,10.0,8.0,7.0,6.0,6.0,8.0,9.0,6.0,9.0,9.0,8.0,8.0,6.0,4.0,6.0,,23.0,18.0,21.0,18.0,10.0,10.0,30.0,15.0,15.0,20.0,10.0,10.0,15.0,25.0,20.0,15.0,15.0,10.0,7.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,0,7.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,0.0,3.0,25.0,15.0,20.0,15.0,15.0,10.0,7.0,9.0,9.0,8.0,9.0,4.0,1.0,2.0,,,,,,,24.0,15.0,18.0,18.0,10.0,15.0,30.0,15.0,15.0,20.0,10.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,10.0,10.0,8.0,9.0,7.0,9.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,13.0,1,26,2,14,20,1,1.0,16,20,360.0,0,-0.17,0,24.0,6.0,20.0,30.0,10.0,10.0,10.0,20.0,0,,,,,,,,,,29.0,MBA,8.0,Universidad de Costa Rica,,,3.0,3.0,1.0,Costa Rica,"9,971,200",,2.0,5.0,2.0,Business Consulting,7.0,7.0,5.0,8.0,8.0,7.0,6.0,3.0,5.0,9.0,8.0,2.0,3.0,4.0,5.0,9.0,8.0,2.0,9.0,,75.0,5.0,5.0,10.0,0.0,5.0,85.0,0.0,5.0,5.0,0.0,5.0,80.0,5.0,5.0,5.0,5.0,0.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,10.0,8.0,0,,,,,,,,,,3.0,,,,,,,,,,,,7.0,1.0,2.0,,,,,,,85.0,1.0,1.0,10.0,1.0,1.0,85.0,1.0,1.0,10.0,1.0,1.0,75.0,2.0,7.0,10.0,3.0,3.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,6.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,8.0,1,16,2,12,14,6,6.0,1,1,294.0,0,0.5,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,2.0,27.0,Environmental Engineering,5.0,Princeton U.,"1,460.00","27,230.00",2.0,1.0,4.0,way too little space here. world citizen.,,,3.0,5.0,3.0,Academia or UN,2.0,8.0,2.0,2.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,1.0,8.0,9.0,7.0,7.0,2.0,2.0,5.0,,6.67,19.05,42.86,9.52,14.29,7.62,20.0,15.0,15.0,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,10.0,6.0,10.0,6.0,8.0,7.0,5.0,10.0,8.0,6.0,5.0,1,9.0,8.0,10.0,7.0,7.0,7.0,9.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,3.0,0,5,2,12,14,12,12.0,5,6,313.0,0,0.08,1,27.0,2.0,19.0,13.0,18.0,18.0,10.0,22.0,0,3.0,6.0,9.0,4.0,8.0,4.0,4.0,6.0,2.0,28.0,Education Policy,9.0,Univ of Pennsylvania,"1,400.00","26,630.00",2.0,10.0,10.0,New York,"11,365","40,695.00",1.0,4.0,2.0,Education Policy Analyst,2.0,4.0,5.0,2.0,8.0,8.0,7.0,6.0,5.0,9.0,9.0,9.0,8.0,7.0,8.0,10.0,9.0,7.0,3.0,,15.0,20.0,35.0,15.0,5.0,10.0,50.0,0.0,5.0,25.0,0.0,20.0,50.0,0.0,10.0,30.0,0.0,10.0,8.0,9.0,6.0,10.0,9.0,6.0,9.0,10.0,6.0,8.0,1,8.0,8.0,9.0,8.0,7.0,8.0,8.0,1.0,0.0,4.0,,,,,,,,,,,,6.0,3.0,2.0,,,,,,,20.0,25.0,35.0,5.0,5.0,10.0,35.0,5.0,10.0,20.0,15.0,15.0,35.0,5.0,10.0,20.0,15.0,15.0,8.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,7.0,8.0,3.0,3.0,1.0,1.0,1.0,15.0,15.0,25.0,15.0,15.0,15.0,15.0,15.0,25.0,15.0,15.0,15.0,30.0,10.0,15.0,25.0,5.0,15.0,30.0,10.0,15.0,25.0,5.0,15.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,7.0,8.0
216,3.0,1,6,2,9,20,14,16.0,19,5,198.0,0,-0.22,0,23.0,4.0,15.38,19.23,17.31,19.23,9.62,19.23,0,3.0,4.0,5.0,6.0,6.0,7.0,5.0,4.0,2.0,27.0,MBA,8.0,,,,2.0,7.0,1.0,San Francisco,"10,021","55,080.00",2.0,5.0,3.0,Consulting,7.0,2.0,1.0,2.0,7.0,7.0,5.0,3.0,5.0,1.0,13.0,6.0,6.0,7.0,6.0,5.0,2.0,1.0,6.0,,7.5,17.5,20.0,22.5,12.5,20.0,10.0,6.0,6.0,10.0,10.0,8.0,19.57,17.39,15.22,17.39,17.39,13.04,5.0,10.0,9.0,9.0,10.0,,,,,,1,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,2.0,,13.21,18.87,18.87,18.87,16.98,13.21,6.0,10.0,10.0,9.0,10.0,7.0,1.0,3.0,,,,,,,14.81,18.52,18.52,18.52,16.67,12.96,10.0,8.0,8.0,8.0,8.0,8.0,18.18,18.18,12.73,16.36,16.36,18.18,6.0,10.0,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8.0,1,16,2,4,18,4,,17,15,90.0,0,0.08,1,23.0,4.0,15.0,21.0,18.0,18.0,10.0,18.0,0,4.0,8.0,8.0,4.0,5.0,4.0,4.0,1.0,2.0,22.0,financial math,8.0,,,,4.0,3.0,2.0,India,"110,015",,3.0,4.0,3.0,Finance,7.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,7.0,14.0,40.0,8.0,10.0,12.0,10.0,20.0,,,,,,,20.0,10.0,10.0,30.0,10.0,20.0,8.0,8.0,8.0,9.0,9.0,,,,,,1,6.0,9.0,9.0,6.0,8.0,6.0,6.0,5.0,2.0,5.0,,,,,,,,,,,,8.0,1.0,2.0,,,,,,,40.0,10.0,10.0,20.0,5.0,15.0,,,,,,,,,,,,,7.0,8.0,9.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,7.0,0,13,2,4,18,6,,12,2,95.0,0,-0.25,0,26.0,2.0,18.0,18.0,18.0,19.0,13.0,14.0,0,4.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,2.0,25.0,Elementary/Childhood Education (MA),9.0,,,,6.0,2.0,7.0,Washington State,"98,579","26,645.00",1.0,3.0,2.0,teaching and then...,2.0,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,7.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,,,,,,,30.0,15.0,20.0,20.0,5.0,10.0,8.0,9.0,8.0,8.0,7.0,,,,,,0,4.0,8.0,7.0,5.0,7.0,4.0,6.0,7.0,2.0,5.0,,,,,,,,,,,,7.0,1.0,2.0,,,,,,,15.0,20.0,20.0,20.0,10.0,15.0,,,,,,,,,,,,,8.0,9.0,8.0,10.0,8.0,,,,,,1.0,3.0,0.0,,,20.0,15.0,20.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,8.0,9.0,8.0,8.0,7.0,,,,,
509,1.0,0,1,2,21,22,21,21.0,13,18,548.0,1,0.23,0,30.0,2.0,40.0,10.0,20.0,10.0,0.0,20.0,1,5.0,5.0,7.0,7.0,7.0,9.0,6.0,7.0,2.0,28.0,journalism,6.0,NYU,"1,340.00","25,380.00",4.0,2.0,2.0,working,"10,594",,2.0,4.0,2.0,journalism,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,,10.0,20.0,30.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,4.0,8.0,9.0,5.0,6.0,8.0,3.0,9.0,1,8.0,5.0,8.0,6.0,8.0,5.0,5.0,2.0,0.0,0.0,,,,,,,,,,,,5.0,1.0,2.0,30.0,20.0,10.0,20.0,5.0,5.0,10.0,20.0,10.0,20.0,10.0,30.0,50.0,10.0,10.0,20.0,5.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,3.0,3.0,7.0,2.0,7.0,3.0,3.0,8.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
